simulation_id,timestamp,aggregation,num_rounds,local_epochs,num_malicious_clients,backdoor_attack_mode,alpha,final_centralized_mta,final_centralized_asr,dist_mta_history,dist_asr_history,central_mta_history,central_asr_history,notes
exp-01,2025-09-25T13:43:53.954689,fedavg,,,10,,0.9,0.000000,0.000000,"[0.24287084528920086, 0.34807809518495086, 0.4511739587481919, 0.49617869201869924, 0.5302035652781568]","[0.6398828561570888, 0.20848215323424912, 0.1130563688999622, 0.15550271840905117, 0.14213342445163485]",[],[],
exp-01,2025-09-29T00:55:50.063251,fedavg,,,10,,0.9,0.000000,0.000000,"[0.20820527298555805, 0.34844166649790387, 0.42509502828381357, 0.4802921559919179, 0.519926884793078]","[0.8465128840838823, 0.08517558213747282, 0.1017151093517927, 0.11080286826205184, 0.13119416054806493]",[],[],
exp-01,2025-10-01T01:18:19.601785,fedavg,,,10,,0.9,0.000000,0.000000,"[0.22938432992805327, 0.36899333143547886, 0.43572654846912595, 0.4949366737918968, 0.5251775097159015]","[0.25015962533843866, 0.15364829338489652, 0.14257733369056858, 0.12422932191522071, 0.12616072930486658]",[],[],
exp-01,2025-10-01T02:35:11.129974,fedavg,,,10,,0.9,0.000000,0.000000,"[0.23652474325754297, 0.3526678516274453, 0.4289079654711695, 0.4774184634314855, 0.5148711576210392]","[0.2858304739748394, 0.04062404272693053, 0.06300332113330212, 0.11276496374788256, 0.10969853019182882]",[],[],
exp-01,2025-10-08T19:16:25.339048,fedavg,,,10,,0.9,0.000000,0.000000,"[0.2060424558082729, 0.3388182266166959, 0.4334156034355841, 0.4818496485247866, 0.5187459887465493, 0.5436829851141571, 0.5629538405634206, 0.5805375072829474, 0.5961755194377727, 0.6045339885326773, 0.6168056249308453, 0.6264220203115934, 0.6302883653829877, 0.6367582808396632, 0.6362600565251324, 0.6380857819791504, 0.6479008116406867, 0.6505945231023256, 0.6516033297842903, 0.6555778896970497, 0.6611413025127535, 0.6648886207755884, 0.6638551228972933, 0.6689670580129686, 0.6639281069606419]","[0.4858999574736811, 0.11395380087571154, 0.1129370079686047, 0.13170157265932214, 0.11812154994483967, 0.12293295741544663, 0.10000379396799357, 0.09687565823191674, 0.12151018736968236, 0.1147920627362881, 0.11153880200884236, 0.11427035111112671, 0.14753947962464073, 0.10712613698667055, 0.09839984411436525, 0.10263341648476439, 0.1254673424371797, 0.10487351722326248, 0.11216111549872287, 0.1102068739608634, 0.10449737618806434, 0.11268562259053234, 0.10986750893703215, 0.10243160496987821, 0.11563238352608851]",[],[],
exp-01,2025-10-08T19:46:33.484486,fedavg,,,10,,0.9,0.000000,0.000000,"[0.2313092264952402, 0.3484131550848655, 0.41366338942424835, 0.47089567751306777, 0.5222098128173037, 0.5433665557552584, 0.5647802255891279, 0.5828156653805447, 0.599949232849182, 0.6133680798576819, 0.6237970211176063, 0.6268817155103872, 0.6335245400940499, 0.6438373712856338, 0.6498247203974695, 0.6516695870593378, 0.653802577763791, 0.658566905270572, 0.6598736493452214, 0.6637339572340077, 0.6691726547457396, 0.6735221313423312, 0.6660479350282101, 0.6728110720142845, 0.6712565989854571]","[0.050021982139206014, 0.23395765057283785, 0.07740749304422409, 0.11429773150993819, 0.09449912325420146, 0.10232441843707925, 0.1165098661317363, 0.09981943410713554, 0.1481663295971754, 0.11001299193783107, 0.1195480143512826, 0.11445006584033383, 0.11127551372744622, 0.11550219512938167, 0.13874713227232643, 0.1026188782971941, 0.12454695933502946, 0.11682982584332517, 0.10349842673781917, 0.10569826771574453, 0.09824178715826291, 0.11534090042246645, 0.09385605423954838, 0.09791223936802804, 0.10310456474039938]",[],[],
exp-01,2025-10-09T01:43:10.065234,fedavg,,,10,,0.9,0.000000,0.000000,"[0.22279102734813935, 0.3293315558156228, 0.38853731564149346, 0.4221466228763379, 0.4462553815332707]","[0.6140292185811176, 0.11086693941638318, 0.08879286323221527, 0.12047195818527445, 0.14996606013362396]",[],[],
exp-01,2025-10-09T02:45:01.306444,fedavg,,,10,,0.9,0.000000,0.000000,"[0.16369603385510695, 0.2973074261655068, 0.39966403424447305, 0.42197761608577017, 0.4751508732664499, 0.49802303254621927, 0.5160730454174868, 0.5117997636588133, 0.5438020702829945, 0.537662040751423]","[0.7650660021981046, 0.5607209216371218, 0.18421547924047005, 0.5990360181695874, 0.33351476338361125, 0.2907778735068954, 0.28215705917641143, 0.644030598499114, 0.49190654682654633, 0.8917926396094739]",[],[],
exp-01,2025-10-09T03:06:49.476592,fedavg,,,10,,0.9,0.000000,0.000000,"[0.2777214968914729, 0.3255115863327802, 0.3436186809655393, 0.41893149673176977, 0.45257743063880407, 0.47327543914861925, 0.4928929388475244, 0.5066986212305449, 0.492189418985712, 0.5384209607770736]","[0.19769985688797692, 0.14134761881264296, 0.5194724922851691, 0.11561410987795454, 0.16428368083172706, 0.13307600071062795, 0.12674475117067616, 0.12736780221960337, 0.23836674067615732, 0.13468726788452695]",[],[],
exp-01,2025-10-09T04:47:31.765289,fedavg,,,10,,0.9,0.000000,0.000000,"[0.20595828956691933, 0.3294589274250657, 0.4098449420206654, 0.4559884443781024, 0.5040281064213132, 0.5096037040206464, 0.5308329822766137, 0.5459816502393025, 0.5610469941862506, 0.5730377496186139, 0.5797814966508182, 0.5841629969180493, 0.5929258102703533, 0.5980000162575905, 0.6099421246807405, 0.599547445295395, 0.5971008674925903, 0.5979967037364693, 0.6091857547843519, 0.6030146866979564, 0.610221294418389, 0.6137854169149759, 0.6074691387247999, 0.6049187641162803, 0.6075546443262375]","[0.8205137656308986, 0.4096465775659368, 0.5613954065024468, 0.8983986797576209, 0.5959951939219561, 0.9389062013067642, 0.9787411633853127, 0.9907678655848808, 0.993807766112322, 0.9971361736975982, 0.9974387720132649, 0.9992355614520895, 0.9995870596436344, 0.9997935298218172, 0.9950467073733748, 0.9993456108747945, 0.9996958735718172, 0.9996958735718172, 0.9975844286753952, 0.9993254297233058, 0.9962563245710705, 0.9939812754014901, 0.9994544248029772, 0.9996295561514886, 0.9996295561514886]",[],[],
