simulation_id,round,timestamp,centralized_loss,centralized_mta,centralized_asr,num_clients
,0,2025-09-25T13:38:03.950196,2.488034069158469,0.1031,0.0,
,1,2025-09-25T13:39:51.615571,2.4662227721730616,0.101,0.998046875,
,2,2025-09-25T13:40:53.150709,2.5230822335382936,0.1752,0.61328125,
,3,2025-09-25T13:41:53.882963,1.6847914920491018,0.3801,0.22265625,
,4,2025-09-25T13:42:52.334378,1.4060386176321917,0.477,0.23046875,
,5,2025-09-25T13:43:50.960058,1.1698767789609872,0.5781,0.15234375,
,0,2025-09-29T00:49:32.340866,2.3443504518764033,0.1028,0.033203125,
,1,2025-09-29T00:51:22.187115,2.810330494194274,0.1,1.0,
,2,2025-09-29T00:52:25.648855,2.1967984893519406,0.2126,0.177734375,
,3,2025-09-29T00:53:31.778279,1.5353030778799848,0.427,0.15625,
,4,2025-09-29T00:54:27.503380,1.3968327478238731,0.4758,0.1181640625,
,5,2025-09-29T00:55:18.618535,1.1783476107439417,0.5673,0.1328125,
,0,2025-10-01T01:04:55.342362,2.3379576266950863,0.1079,0.0361328125,
,1,2025-10-01T01:09:57.710545,2.6229671141144575,0.1034,0.0361328125,
,2,2025-10-01T01:11:54.183543,2.366159634984982,0.2039,0.50390625,
,3,2025-10-01T01:14:55.765921,1.6357999736336386,0.404,0.181640625,
,4,2025-10-01T01:16:35.209095,1.3773349333720601,0.4947,0.140625,
,5,2025-10-01T01:18:09.842825,1.1773058088721744,0.5667,0.0986328125,
,0,2025-10-01T02:28:53.875361,2.463084293778535,0.1143,0.7265625,
,1,2025-10-01T02:29:54.874719,2.5786854233711387,0.1131,0.1748046875,
,2,2025-10-01T02:31:29.568943,2.102738220980213,0.2336,0.08984375,
,3,2025-10-01T02:33:18.292218,1.615807300160645,0.4096,0.08203125,
,4,2025-10-01T02:34:13.526331,1.433467758688957,0.4798,0.1474609375,
,5,2025-10-01T02:35:07.671282,1.2110433157082576,0.556,0.1123046875,
,0,2025-10-08T18:42:05.195186,2.3739164057810593,0.1,0.0,
,1,2025-10-08T18:42:50.303060,2.6974131969889257,0.1,0.0,
,2,2025-10-08T18:43:51.185353,2.699388988458427,0.138,0.306640625,
,3,2025-10-08T18:44:50.160648,1.5986084558401898,0.4012,0.1279296875,
,4,2025-10-08T18:45:36.032781,1.2997039104722867,0.5203,0.146484375,
,5,2025-10-08T18:48:46.720767,1.2032202003867762,0.5645,0.0859375,
,6,2025-10-08T18:50:30.369255,1.139933349220616,0.5838,0.103515625,
,7,2025-10-08T18:51:17.693102,1.0265229644289442,0.6311,0.09375,
,8,2025-10-08T18:52:07.416993,0.9972486040394777,0.6392,0.0703125,
,9,2025-10-08T18:52:55.626974,0.9548277767600527,0.6563,0.1142578125,
,10,2025-10-08T18:53:44.731721,0.9178022935891607,0.6683,0.0947265625,
,11,2025-10-08T18:54:33.318506,0.9396047322613419,0.6705,0.0849609375,
,12,2025-10-08T18:55:33.487787,0.8463792351021129,0.7028,0.0927734375,
,13,2025-10-08T18:56:57.909473,0.826808438369423,0.7076,0.0947265625,
,14,2025-10-08T18:57:45.975350,0.8098779470677588,0.7204,0.0693359375,
,15,2025-10-08T18:58:42.232545,0.8310612295843234,0.7138,0.0712890625,
,16,2025-10-08T18:59:39.724768,0.8313541605973699,0.7124,0.0673828125,
,17,2025-10-08T19:01:00.319924,0.782293695742917,0.7328,0.083984375,
,18,2025-10-08T19:01:47.365419,0.7559517371426722,0.7388,0.091796875,
,19,2025-10-08T19:07:26.586820,0.7763534176881146,0.7359,0.099609375,
,20,2025-10-08T19:08:21.657722,0.7581774960657593,0.7387,0.091796875,
,21,2025-10-08T19:09:15.508113,0.7616459254626256,0.7379,0.095703125,
,22,2025-10-08T19:13:23.805946,0.7624145480477886,0.7452,0.099609375,
,23,2025-10-08T19:14:22.279619,0.7784778747209318,0.7371,0.08984375,
,24,2025-10-08T19:15:21.287180,0.7514858466045112,0.7465,0.0791015625,
,25,2025-10-08T19:16:20.375528,0.7682575543594968,0.7414,0.09375,
,0,2025-10-08T19:23:05.168625,2.3822821295185452,0.1068,0.0,
,1,2025-10-08T19:23:53.528143,2.4414223333832563,0.1162,0.1142578125,
,2,2025-10-08T19:24:41.790907,2.298539995387861,0.1805,0.6845703125,
,3,2025-10-08T19:25:30.810341,1.699791000147534,0.3728,0.13671875,
,4,2025-10-08T19:26:22.993952,1.4164493562309606,0.4719,0.14453125,
,5,2025-10-08T19:27:39.706924,1.2479344469726465,0.548,0.1015625,
,6,2025-10-08T19:28:55.485385,1.1317820435117005,0.5811,0.0537109375,
,7,2025-10-08T19:30:05.181662,1.0590932319878013,0.614,0.107421875,
,8,2025-10-08T19:30:54.568125,0.9660723254938793,0.6492,0.0888671875,
,9,2025-10-08T19:31:59.783294,0.93494618432537,0.6605,0.130859375,
,10,2025-10-08T19:32:50.722946,0.867818979321012,0.6922,0.0966796875,
,11,2025-10-08T19:34:02.858666,0.8647205150051481,0.6916,0.08984375,
,12,2025-10-08T19:34:56.409717,0.8641967154612207,0.6963,0.10546875,
,13,2025-10-08T19:35:47.317569,0.8616044756713187,0.6952,0.08984375,
,14,2025-10-08T19:36:37.842475,0.815652978648046,0.7138,0.1181640625,
,15,2025-10-08T19:37:46.129751,0.7839361474772167,0.7294,0.119140625,
,16,2025-10-08T19:38:36.957775,0.8355141035310781,0.7133,0.0751953125,
,17,2025-10-08T19:39:29.321026,0.7731059945313035,0.7357,0.1162109375,
,18,2025-10-08T19:40:20.388070,0.7658356786913173,0.7387,0.1064453125,
,19,2025-10-08T19:41:13.284010,0.7823853597139857,0.7355,0.107421875,
,20,2025-10-08T19:42:06.285883,0.7878424462619101,0.7326,0.1015625,
,21,2025-10-08T19:42:58.587608,0.7219059947569659,0.7536,0.076171875,
,22,2025-10-08T19:43:51.255315,0.7579033171675008,0.742,0.0986328125,
,23,2025-10-08T19:44:44.053300,0.7431879950936433,0.7492,0.07421875,
,24,2025-10-08T19:45:36.915528,0.7243498844705569,0.7558,0.083984375,
,25,2025-10-08T19:46:29.142606,0.7280078640409336,0.7559,0.080078125,
,0,2025-10-08T19:58:15.808542,2.423149590279646,0.0999,0.0,
,1,2025-10-08T19:59:18.861890,2.6995223783383704,0.1,1.0,
,2,2025-10-08T20:00:08.448154,2.855496722421828,0.1481,0.5224609375,
,3,2025-10-08T20:00:59.124757,1.6088842214292782,0.395,0.1015625,
,4,2025-10-08T20:02:06.156631,1.2959977752843481,0.5221,0.1962890625,
,5,2025-10-08T20:03:15.423627,1.2258230178219498,0.5506,0.166015625,
